SERIAL_NUMBER,MODEL_NAME,CARTON_NO,PALLET_NO,VENDOR_SN,ASY_B,HW,FW,DESCRIPTION,SKU,INNER_CARTON_NO,PO_NUMBER,BUNDLE,DN,H_H_PARTNUMBER
BHRC1717LH007280-C,DOORBELL_V3,79470,ASSY0175B016,9884E327F8D2,4/29/17 3:50,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020052,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007281-C,DOORBELL_V3,79457,ASSY0175B016,9884E3280044,4/29/17 3:51,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007284-C,DOORBELL_V3,79458,ASSY0175B016,9884E326721B,4/29/17 3:43,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007287-C,DOORBELL_V3,79456,ASSY0175B016,9884E3CE0FA0,4/29/17 3:45,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290460,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007291-C,DOORBELL_V3,79462,ASSY0175B016,9884E32875C9,4/29/17 3:42,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007293-C,DOORBELL_V3,79464,ASSY0175B016,38D269D5383B,4/29/17 4:44,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020028,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007295-C,DOORBELL_V3,79469,ASSY0175B016,9884E3CFE3D8,4/29/17 4:44,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020044,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007297-C,DOORBELL_V3,79479,ASSY0175B016,9884E326738A,4/29/17 3:45,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020093,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007302-C,DOORBELL_V3,79458,ASSY0175B016,9884E327FAFD,4/29/17 3:43,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007306-C,DOORBELL_V3,79470,ASSY0175B016,9884E3261EB5,4/29/17 4:20,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020052,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007308-C,DOORBELL_V3,79458,ASSY0175B016,9884E32868F9,4/29/17 3:43,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007309-C,DOORBELL_V3,79464,ASSY0175B016,9884E3286C1A,4/29/17 3:40,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020028,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007310-C,DOORBELL_V3,79447,ASSY0175B018,9884E3CE0A93,4/29/17 3:40,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290412,100255, ,2170903146,3A0149100-600-GA01
